customer_id,order_date,first_purchase,days_to_second_purchase
12347,2011-01-26 14:30:00,2010-12-07 14:57:00,49
12348,2011-01-25 10:42:00,2010-12-16 19:09:00,39
12352,2011-03-01 14:57:00,2011-02-16 12:33:00,13
12356,2011-04-08 12:33:00,2011-01-18 09:50:00,80
12358,2011-12-08 10:26:00,2011-07-12 10:04:00,149
12359,2011-02-07 14:51:00,2011-01-12 12:43:00,26
12360,2011-08-19 10:10:00,2011-05-23 09:43:00,88
12362,2011-04-28 09:12:00,2011-02-17 10:30:00,69
12363,2011-08-22 10:18:00,2011-04-11 13:29:00,132
12364,2011-09-22 16:07:00,2011-08-19 15:24:00,34
12365,2011-02-21 14:04:00,2011-02-21 13:51:00,0
12370,2010-12-17 09:38:00,2010-12-14 12:58:00,2
12371,2011-10-26 10:16:00,2011-10-11 10:43:00,14
12372,2011-05-11 10:43:00,2011-02-16 12:46:00,83
12375,2011-11-29 10:36:00,2011-09-02 14:23:00,87
12377,2011-01-28 15:45:00,2010-12-20 09:37:00,39
12379,2011-09-19 10:09:00,2011-06-22 16:32:00,88
12380,2011-09-22 17:31:00,2011-06-07 09:49:00,107
12381,2011-10-11 15:45:00,2011-08-12 09:57:00,60
12383,2011-01-12 14:10:00,2010-12-22 14:28:00,20
12384,2011-11-11 08:39:00,2011-08-10 11:23:00,92
12386,2011-01-06 12:37:00,2010-12-08 09:53:00,29
12388,2011-02-07 13:59:00,2011-01-17 11:12:00,21
12393,2011-01-14 11:36:00,2011-01-11 09:47:00,3
12394,2011-10-07 08:08:00,2011-05-06 14:01:00,153
12395,2010-12-17 16:00:00,2010-12-03 16:35:00,13
12397,2011-11-04 09:52:00,2011-07-27 14:21:00,99
12399,2011-05-10 10:22:00,2011-03-23 09:42:00,48
12406,2011-11-17 19:22:00,2011-06-09 10:23:00,161
12407,2011-04-18 12:25:00,2011-03-20 13:21:00,28
12408,2011-03-24 14:47:00,2011-03-24 14:46:00,0
12409,2011-09-21 14:15:00,2011-06-10 12:19:00,103
12410,2011-02-04 10:39:00,2011-02-04 10:38:00,0
12412,2011-07-25 11:17:00,2011-06-23 13:51:00,31
12413,2011-04-17 15:33:00,2011-01-06 16:12:00,100
12414,2011-04-26 09:12:00,2011-02-02 14:51:00,82
12415,2011-01-10 09:58:00,2011-01-06 11:12:00,3
12417,2011-01-25 09:11:00,2010-12-17 11:51:00,38
12421,2011-06-19 13:54:00,2011-01-24 15:09:00,145
12422,2011-06-24 13:20:00,2011-01-19 09:13:00,156
12423,2011-02-21 09:52:00,2010-12-21 10:54:00,61
12424,2011-06-30 12:06:00,2011-06-30 12:06:00,0
12427,2011-10-10 15:15:00,2010-12-03 10:44:00,311
12428,2011-03-01 09:35:00,2011-03-01 09:33:00,0
12429,2011-04-26 11:44:00,2010-12-09 12:05:00,137
12431,2010-12-17 14:10:00,2010-12-01 10:03:00,16
12432,2011-06-20 13:29:00,2011-06-20 13:27:00,0
12433,2010-12-08 16:49:00,2010-12-01 13:24:00,7
12434,2011-09-16 12:38:00,2011-03-24 13:05:00,175
12435,2011-09-21 09:06:00,2011-03-17 07:40:00,188
12437,2011-02-02 15:22:00,2011-01-12 14:13:00,21
12438,2011-11-25 13:28:00,2011-07-22 13:29:00,125
12444,2011-08-10 08:41:00,2011-06-21 14:00:00,49
12449,2011-08-02 09:14:00,2011-06-05 15:37:00,57
12450,2011-07-06 14:41:00,2011-06-19 14:36:00,17
12451,2011-05-05 17:34:00,2011-01-19 09:05:00,106
12452,2011-11-23 10:28:00,2011-11-23 08:05:00,0
